user_id,message,sender,created_at
buyer_001,請問這個課程價格多少？可以刷卡分期嗎？,user,2026-05-01T10:00:00+08:00
buyer_001,目前有基礎方案和進階方案，也可以刷卡。,ai,2026-05-01T10:00:20+08:00
buyer_001,我想了解進階方案，也可以留 LINE 跟我聯絡嗎？,user,2026-05-01T10:02:00+08:00
risk_001,你們物流怎麼一直沒到？我已經問第二次了，很不滿意,user,2026-05-01T11:00:00+08:00
risk_001,不好意思，我幫您查詢。,ai,2026-05-01T11:00:30+08:00
risk_001,物流怎麼一直沒到？還是沒有解決,user,2026-05-01T11:05:00+08:00
return_001,我要退貨，請問退款流程是什麼？,user,2026-05-01T13:00:00+08:00
return_001,請提供訂單編號，我們會協助處理。,human,2026-05-01T13:03:00+08:00
info_001,有免費資料可以先看嗎？,user,2026-05-01T14:00:00+08:00
info_001,可以，這邊提供簡介給您。,ai,2026-05-01T14:01:00+08:00
custom_001,我們公司想做客製化服務，能不能安排顧問討論方案？,user,2026-05-01T15:30:00+08:00
custom_001,可以，請留下電話或 LINE，我們安排顧問聯繫。,ai,2026-05-01T15:31:00+08:00
custom_001,我的電話是 0912-345-678，請明天聯絡,user,2026-05-01T15:33:00+08:00
